fid_1,Lake,Type,Sq,EM_pct_17,SFM_pct_17,OW_pct_17,EM_pct_18,SFM_pct_18,OW_pct_18,EM_pct_19,SFM_pct_19,OW_pct_19,EM_pct_20,SFM_pct_20,OW_pct_20,EM_pct_21,SFM_pct_21,OW_pct_21,EM_pct_22,SFM_pct_22,OW_pct_22,EM_pct_23,SFM_pct_23,OW_pct_23,EM_pct_24,SFM_pct_24,OW_pct_24,mac17,mac18,mac19,mac20,mac21,mac22,mac23,mac24,morf_group
1,Aisetas,1,5.5,6.728710907578535,0.9381891241101228,92.33309996831134,8.909051145216939,1.665918679589384,89.42503017519368,10.878643701243556,4.006802534909286,85.11455376384717,7.446669252622673,6.250756759124202,86.30257398825314,6.220162750636212,8.054511582401242,85.72532566696255,5.465282618072109,7.200527652677105,87.3341897292508,9.670681306011996,2.746390759404549,87.58292793458345,6.584237787463048,7.140614770655334,86.27514744188161,7.666900031688657,10.574969824806322,14.88544623615284,13.697426011746874,14.274674333037453,12.665810270749216,12.417072065416544,13.724852558118382,1
2,Akmena,1,2.7,2.268905178682179,4.88035747353366,92.85073734778416,NA,NA,NA,4.599536035307316,3.212201157716516,92.18826280697616,NA,NA,NA,NA,NA,NA,2.6459416295597564,4.715188389349863,92.63886998109038,7.084550399148213,1.2204214429990543,91.69502815785272,3.4108002043869643,3.256610969648393,93.33258882596463,7.149262652215839,NA,7.811737193023831,NA,NA,7.36113001890962,8.304971842147268,6.667411174035357,2
3,Alaušai,1,2.6,1.927999705358708,7.829950885366714,90.2420494092746,NA,NA,NA,7.194527168787851,5.104594412284334,87.70087841892781,3.5632742276473133,8.277966701503246,88.15875907084944,NA,NA,NA,2.777654332334736,10.36769144602455,86.85465422164071,4.780573740879428,6.701305459330345,88.51812079979022,5.371118767175365,6.468206522623383,88.16067471020123,9.757950590725422,NA,12.299121581072184,11.841240929150558,NA,13.145345778359284,11.481879200209772,11.839325289798747,1
4,Alaušas,1,10.6,2.0899000350025414,1.6828383178609283,96.22726164713654,3.0913188417345543,3.8131104136130327,93.0955707446524,3.757412520053669,5.231523092604054,91.01106438734227,2.565434021008027,5.530352612842667,91.9042133661493,2.385130022643514,8.56048088259667,89.05438909475983,2.9679432664909173,5.591932314858498,91.4401244186506,3.182256509295324,4.95210315232437,91.8656403383803,3.3991072654127485,5.138068938603199,91.46282379598404,3.77273835286347,6.904429255347587,8.988935612657723,8.095786633850693,10.945610905240184,8.559875581349417,8.134359661619694,8.537176204015948,1
5,Almajas,1,1.1,4.123137129113765,1.4246779941459295,94.4521848767403,5.767008427575748,2.3254886573615026,91.90750291506276,6.902603521469199,5.109628081619665,87.98776839691114,4.833547940631333,6.911364648594772,88.2550874107739,NA,NA,NA,4.7560652253098405,7.10300181442226,88.1409329602679,7.141095149082173,4.16201016646766,88.69689468445017,6.880562864831454,6.779007230500713,86.34042990466784,5.547815123259694,8.09249708493725,12.012231603088864,11.744912589226104,NA,11.8590670397321,11.303105315549832,13.659570095332167,1
6,Alnis,1,1,4.8387198344968425,0.10295919027153708,95.05832097523162,7.938302002055033,0.35916316716182606,91.70253483078316,7.439306510306909,1.35385846166042,91.20683502803266,6.43594245843771,1.909992090006956,91.65406545155534,4.234055739655485,4.42984451760766,91.33609974273683,NA,NA,NA,7.11384163203496,0.25656161600418187,92.62959675196085,6.505101853424931,0.9964476365688338,92.49845051000624,4.94167902476838,8.297465169216858,8.793164971967329,8.345934548444665,8.663900257263144,NA,7.370403248039142,7.501549489993765,2
7,Alsakys,1,1.3,3.5525550850916376,8.12324358344162,88.32420133146674,9.040598867938922,2.5671245388918527,88.39227659316923,12.39297273009706,6.295766263318099,81.31126100658483,7.794820104276528,9.556787236719726,82.64839265900376,7.357452182023525,11.853002733331016,80.78954508464545,6.1931059853674375,11.2800963389486,82.52679767568397,15.124450710463076,3.08518522538816,81.79036406414878,8.115167133510544,9.228134389345282,82.65669847714418,11.675798668533258,11.607723406830775,18.68873899341516,17.351607340996253,19.21045491535454,17.473202324316038,18.209635935851235,17.343301522855825,3
8,Alys,1,1.4,1.2696215742737218,0.8209015886775808,97.9094768370487,2.3217140116587527,0.0784592387770548,97.5998267495642,2.452601932079789,0.7405554517944221,96.8068426161258,NA,NA,NA,1.578004529362277,1.3096035160873736,97.11239195455036,1.499830607310995,0.6820067746154805,97.81816261807352,1.9435174390901135,0.14172057457208614,97.9147619863378,2.37068938331416,0.5035641599117341,97.12574645677412,2.0905231629513024,2.400173250435808,3.193157383874211,NA,2.8876080454496504,2.181837381926476,2.0852380136622,2.874253543225893,3
9,Amalvas,1,1.9,8.015877415906806,4.082946136542247,87.90117644755094,7.356743809077725,3.762999342480284,88.88025684844199,NA,NA,NA,NA,NA,NA,4.889735621438322,9.515193070929348,85.59507130763232,7.1985843760117,7.80082225391501,85.00059337007329,6.195930371099887,8.81202587957241,84.9920437493277,5.637041587444169,11.079017271664068,83.28394114089176,12.098823552449051,11.119743151558009,NA,NA,14.404928692367667,14.99940662992671,15.007956250672295,16.716058859108237,3
10,Ančia,1,4.8,5.362940660663242,4.178898331236916,90.45816100809984,6.282666375764593,1.743513351719882,91.97382027251552,NA,NA,NA,NA,NA,NA,4.764464101822971,6.230020371596535,89.0055155265805,4.688612215261037,5.923588384648304,89.38779940009066,9.843880694213263,1.6725604205573648,88.48355888522936,4.975603366280753,5.5363799322526726,89.48801670146658,9.54183899190016,8.026179727484475,NA,NA,10.994484473419504,10.61220059990934,11.516441114770627,10.511983298533426,1
11,Angiriai Reservoir,2,2.7,9.567022526291646,3.058437580897034,87.37453989281131,15.260809293863389,6.286092685370202,78.4530980207664,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.986139077999956,4.179719459146219,81.83414146285384,11.418945157434427,5.113907788359276,83.4671470542063,11.529721819407522,9.20431983491752,79.26595834567496,12.62546010718868,21.54690197923359,NA,NA,NA,18.16585853714617,16.532852945793707,20.73404165432504,4
12,Antalieptė Reservoir,2,13.8,3.196572276664263,1.1928840925702364,95.6105436307655,5.457025913703137,2.353294967685568,92.1896791186113,7.194432326876924,6.7964563551899335,86.00911131793313,4.288343048789214,9.431771889822231,86.27988506138855,NA,NA,NA,2.7845863853496424,11.998850424865251,85.2165631897851,6.521974374358015,6.158877529145467,87.31914809649652,5.913739151792606,9.69470527261691,84.39155557559049,4.389456369234499,7.810320881388705,13.990888682066856,13.720114938611449,NA,14.783436810214896,12.680851903503482,15.608444424409516,5
13,Antanavo Reservoir (Gavaltuvos),2,1,NA,NA,NA,42.13758830355063,12.015703863265664,45.84670783318371,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.052455471764983,29.20489658394289,54.74264794429213,16.887971934873068,41.483494993191535,41.6285330719354,NA,NA,NA,NA,54.15329216681629,NA,NA,NA,45.25735205570787,58.371466928064606,NA,4
14,Arinas,1,4.3,NA,NA,NA,5.766462140187605,2.456616833438149,91.77692102637424,6.165779234871457,9.237885419093676,84.59633534603488,4.182105647866999,10.312802962143298,85.5050913899897,NA,NA,NA,3.887702202680352,10.773560530114407,85.33873726720525,6.6868393522922425,7.391216955868039,85.92194369183972,5.689777754412339,8.90837800163119,85.40184424395646,NA,8.223078973625755,15.403664653965134,14.494908610010295,NA,14.66126273279476,14.07805630816028,14.598155756043528,1
15,Asalnai,1,2.5,2.548482480405541,1.372698791172586,96.07881872842188,4.924856159060676,3.411565519776393,91.66357832116292,6.943094154720408,5.456723284808039,87.60018256047155,4.143963124321881,7.001429269188588,88.85460760648954,NA,NA,NA,3.213635039322804,7.556417832549064,89.22994712812813,6.655716713568953,3.868003863487667,89.47627942294338,4.858287944146741,6.690325835160917,88.45138622069234,3.921181271578127,8.33642167883707,12.399817439528448,11.14539239351047,NA,10.770052871871869,10.52372057705662,11.548613779307658,2
16,Asavas,1,1.8,2.026611400838722,1.573680783929991,96.39970781523128,3.506799620360145,4.550442843785607,91.94275753585424,5.509775223039597,8.960103973350833,85.53012080360956,2.793316196040778,11.177172979427482,86.02951082453173,NA,NA,NA,2.6544164386675333,11.858690707451547,85.48689285388092,4.933394288796122,8.190750169622158,86.87585554158171,4.565317822871886,9.855809782774465,85.57887239435364,3.600292184768713,8.057242464145752,14.46987919639043,13.97048917546826,NA,14.513107146119085,13.12414445841828,14.421127605646353,3
17,Asveja (Dubingiai Lake),1,6.1,2.931527476907116,2.651096160905903,94.41737636218696,6.64825703385478,0.7579136350266067,92.5938293311186,6.182971733357249,3.2264205421739653,90.59060772446878,4.140809314711717,4.1409945649251485,91.71819612036312,2.867656690398868,4.99855027245969,92.13379303714144,2.2567426334827223,5.141511432609088,92.6017459339082,5.496633110968257,2.5234638537969434,91.9799030352348,5.806492380270796,2.4977163717842763,91.69579124794494,5.582623637813018,7.406170668881387,9.409392275531214,8.281803879636865,7.866206962858558,7.39825406609181,8.0200969647652,8.304208752055072,2
18,Atesys,1,1.1,4.374333301688352,7.697107915395936,87.9285587829157,NA,NA,NA,NA,NA,NA,5.846741278087306,6.4878034282684975,87.6654552936442,5.203867451521155,9.477670377359924,85.31846217111891,5.169466969579727,8.175815729118018,86.65471730130226,6.158685102264353,7.187349161455571,86.65396573628007,3.7337926502594474,9.72350921821811,86.54269813152244,12.071441217084288,NA,NA,12.334544706355803,14.68153782888108,13.345282698697744,13.346034263719924,13.457301868477558,1
