fid_1,Lake,EM17,EM18,EM19,EM20,EM21,EM22,EM23,EM24,SFM17,SFM18,SFM19,SFM20,SFM21,SFM22,SFM23,SFM24,dEM18,dSM18,dEM19,dSM19,dEM20,dSM20,dEM21,dSM21,dEM22,dSM22,dEM23,dSM23,dEM24,dSM24
49,Ilgai,6.31,9.21,9.38,7.38,7.29,6.26,8.18,8.23,3.87,0.63,2.38,2.67,4.5,4.53,2.26,2.28,2.9000000000000012,-3.24,0.16999999999999993,1.75,-2.000000000000001,0.29000000000000004,-0.08999999999999986,1.83,-1.0300000000000002,0.03000000000000025,1.92,-2.2700000000000005,0.05000000000000071,0.02000000000000001
52,Ilgis (Varėna),7.02,9.32,10.93,8.87,8.46,7.85,14.11,8.98,5.65,3.26,6.36,7.22,7.66,8.07,2.03,6.29,2.3000000000000007,-2.390000000000001,1.6099999999999994,3.1000000000000005,-2.0600000000000005,0.8599999999999994,-0.4099999999999984,0.4400000000000004,-0.6100000000000012,0.41000000000000014,6.26,-6.040000000000001,-5.129999999999999,4.26
53,Indrajai,1.13,2.84,4.83,1.71,2.64,1.33,2.4,2.68,1.39,4.98,5.9,9.3,8.15,9.81,7.55,9.07,1.71,3.5900000000000007,1.99,0.92,-3.12,3.4000000000000004,0.9300000000000002,-1.1500000000000004,-1.31,1.66,1.0699999999999998,-2.2600000000000007,0.28000000000000025,1.5200000000000005
55,Juodieji Lakajai,2.66,4.73,5.54,4.02,3.09,2.49,5.81,2.87,2.05,2.24,3.04,2.97,5.72,4.45,1.81,3.35,2.0700000000000003,0.1900000000000004,0.8099999999999996,0.7999999999999998,-1.5200000000000005,-0.06999999999999984,-0.9299999999999996,2.7499999999999996,-0.5999999999999996,-1.2699999999999996,3.3199999999999994,-2.64,-2.9399999999999995,1.54
57,Kalviai,4.95,7.17,9.73,5.98,4.44,6.71,11,5,6.14,2.66,2.97,6.07,7.11,4.61,1.58,6.3,2.22,-3.4799999999999995,2.5600000000000005,0.31000000000000005,-3.75,3.1,-1.54,1.04,2.2699999999999996,-2.5,4.29,-3.03,-6,4.72
60,Kertuojai,1.5,2.58,4.1,2.48,2,1.57,2.93,1.67,1.5,1.82,5.19,5.53,6.7,6.21,4.68,6.03,1.08,0.32000000000000006,1.5199999999999996,3.37,-1.6199999999999997,0.33999999999999986,-0.48,1.17,-0.42999999999999994,-0.4900000000000002,1.36,-1.5300000000000002,-1.2600000000000002,1.3500000000000003
61,Kretuonas,4.21,5,7.9,4.94,5.22,4.1,8.79,4.36,2.48,5.28,8.32,9.85,10.75,10.44,5.74,10.14,0.79,2.8000000000000003,2.9000000000000004,3.04,-2.96,1.5299999999999994,0.27999999999999936,0.9000000000000004,-1.12,-0.3100000000000005,4.6899999999999995,-4.699999999999999,-4.429999999999999,4.4
65,Lavysas,1.15,1.98,2.23,2.86,5.15,2.12,3.05,1.66,1.42,0.28,0.83,2.86,2.4,1.17,0.53,1.51,0.8300000000000001,-1.14,0.25,0.5499999999999999,0.6299999999999999,2.03,2.2900000000000005,-0.46,-3.03,-1.23,0.9299999999999996,-0.6399999999999999,-1.39,0.98
67,Ligajai,3.59,7.66,9.45,5.92,4.66,4.24,7.88,6.86,2.24,1.43,3.56,5.88,7.66,7.11,3.13,5.61,4.07,-0.8100000000000003,1.7899999999999991,2.13,-3.5299999999999994,2.32,-1.2599999999999998,1.7800000000000002,-0.41999999999999993,-0.5499999999999998,3.64,-3.98,-1.0199999999999996,2.4800000000000004
69,Luokesai,3.3,5.81,5.11,3.91,2.79,2.4,5.29,4.93,0.92,0.08,1.42,1.53,3.59,2.03,0.4,0.63,2.51,-0.8400000000000001,-0.6999999999999993,1.34,-1.2000000000000002,0.1100000000000001,-1.12,2.0599999999999996,-0.3900000000000001,-1.56,2.89,-1.63,-0.3600000000000003,0.23
