fid_1,Lake,EM_17,EM_18,EM_19,EM_20,EM_21,EM_22,EM_23,EM_24,SFM_17,SFM_18,SFM_19,SFM_20,SFM_21,SFM_22,SFM_23,SFM_24,OW_17,OW_18,OW_19,OW_20,OW_21,OW_22,OW_23,OW_24
11,Angiriai Reservoir,254385.3039645021,405782.00796785526,NA,NA,NA,371888.77008447045,303627.5734481805,306573.1037569224,81323.27184710036,167146.00536730897,NA,NA,NA,111137.94309432084,135977.8325589348,244741.10858531288,2323272.34814266,2086052.910638682,NA,NA,NA,2175954.210795056,2219375.517905112,2107666.7115589823
12,Antalieptė Reservoir,441339.5703354628,753432.5095714916,993310.1452514044,592030.4167850714,NA,384401.3789316507,900466.2242659137,816489.3113110964,164697.34056016518,324911.2174477671,938362.9927476324,1302110.344117585,NA,1656394.88621348,850334.7109412248,1338514.0988174304,13200613.843018074,12728307.029018885,11874977.618039092,11911434.260718511,NA,11763816.906637792,12055849.820830988,11651647.3459096
13,Antanavo Reservoir (Gavaltuvos),NA,439593.3860161581,NA,NA,NA,167464.57352691365,176180.96015170254,NA,NA,125351.83334579469,NA,NA,NA,304675.2292775472,432769.66627690935,NA,NA,478288.1589923485,NA,NA,NA,571093.57554984,434282.7519256891,NA
14,Arinas,NA,246856.9591306944,263951.357971116,179032.10982562767,NA,166395.49190446417,286257.4640347194,243574.17085859945,NA,105165.51509554998,395465.4080640599,441481.6429781437,NA,461113.48310962704,316411.2236660676,381359.497523364,NA,3928885.873550806,3621491.5817418727,3660394.5957679455,NA,3652538.292745868,3678239.660076262,3655974.679395087
15,Asalnai,64143.63389639769,123955.4020433911,174753.12975184157,104215.82564749628,NA,80885.08789990006,167520.02788944653,122279.92369915827,34549.92898243923,85866.8683801539,137342.1490419575,176077.75699510763,NA,190190.08478414503,97355.12236675186,168391.1167989993,2418240.9026149376,2307112.1950702304,2204839.186699975,2234589.4537393907,NA,2245859.292809729,2252059.315237576,2226263.424995617
16,Asavas,35651.8808274214,61691.15702151124,96927.2400009157,49139.6505977107,NA,46694.6419386022,86787.62252400725,80312.46981684376,27683.985072745538,80050.79114402326,157624.9689146154,196627.3548471637,NA,208609.8128306668,144090.59813524122,173382.10753565762,1695850.962549861,1617444.8802844929,1504634.6195344962,1513419.8230051524,NA,1503825.7728163477,1528308.6077907784,1505492.2510975257
17,Asveja (Dubingiai Lake),177483.27646316827,402421.0214333332,374335.2536040963,250696.7477444965,173285.34336251646,136629.82178397093,332782.29924006783,351542.0887325817,160505.14162430103,45876.742973761466,195336.9680427703,250707.96333606244,302049.9291906172,311282.1906738737,152777.90719559614,151219.07907466515,5716305.0470524365,5604732.667239772,5484621.243493052,5552888.754059359,5567415.379667159,5606381.452682072,5568733.258704249,5551532.297332666
18,Atesys,47286.41231393247,NA,NA,63203.09855259905,56253.6516924091,55881.78351029034,66575.20197305114,40362.18700727568,83205.50662469304,NA,NA,70132.961245189,102453.33364661723,88380.32379027727,77695.02972295423,105110.8441721898,950505.0936959956,NA,NA,947660.9528368332,922290.027295595,936734.9053340538,936726.780938616,935523.981455156
19,Aukštadvaris Reservoir (Baluosis and Sienis Lakes),249873.5860210494,NA,406366.8328478355,NA,264228.5016789157,256176.6436216916,617760.4257552798,293266.38422126137,225001.3472109926,NA,244542.9753168143,NA,328666.2860368018,333516.8054992228,37415.920559946695,271027.1485778358,2221617.8956566607,NA,2045583.0207240544,NA,2103598.041172985,2106799.379767789,2041316.482573476,2132199.296089607
20,Aviris,44883.17001381667,84425.10632927081,89369.33853533865,NA,46197.42228950049,37551.54862599091,144240.06301480485,63072.20160115563,45340.08644216202,16487.19438688989,42580.14301902921,NA,85239.26166687012,71087.4437436871,5734.575318325267,53342.22350773532,1309782.4438623905,1298623.0479443409,1268056.2187640015,NA,1268569.0163619989,1291366.7079486917,1250031.0619852403,1283591.275209478
21,Balskai Reservoir,320870.8212734596,NA,NA,200572.4701401356,NA,265909.39148653805,320166.2605416387,517929.0303606073,47325.62645357917,NA,NA,344967.42636308866,NA,224992.9150076623,178645.16686368454,87407.06380948833,2383915.422019808,NA,NA,2206571.973243623,NA,2261209.563252647,2253300.442341524,2146775.7755767526
22,Baltieji Lakajai,125369.91801980697,226974.784098786,300697.1611363279,203230.3065598879,150808.88613680654,103134.23089868878,229188.18853031241,210393.73835631725,53748.28915958778,157861.15715843652,247075.836270381,195991.2122951733,428152.6436590159,254986.17676221044,148552.57411962774,194126.8122971927,6850167.623379213,6644449.889301385,6481512.833151903,6629606.847515928,6368950.317749635,6669792.922867195,6651545.067908673,6624765.279905101
23,Baltoji Ančia Reservoir,297341.8910002916,352591.6021662095,413132.9423245448,NA,NA,239827.09230633927,387478.78125728527,286344.35796000203,91314.67056111354,39251.9259899663,114288.63020885688,NA,NA,225977.28893476,64607.55765956805,177378.12912045646,1961686.7045611967,1958499.7379664285,1822921.6935892,NA,NA,1884538.8848815016,1898256.927205748,1886620.779042144
24,Baluošai,84784.10284190465,146489.42109792368,145640.20691712317,106369.347755133,85983.4346540564,74960.59467037434,145454.69277906223,118368.65826419007,54292.257041991,21244.679647333483,119607.50318064971,118678.92496122477,154414.87036847885,150083.6454409281,68586.21295183967,117371.8421468099,2275646.40795671,2246988.6670953487,2149475.057742833,2189674.495124249,2156408.37790291,2189678.5277293045,2200681.862109704,2178982.267429606
25,Baluošas,98075.50718926816,166478.81341373228,210379.911554883,NA,NA,107579.97314174878,218562.74243433384,190689.5269980788,48419.27243496764,115435.00682738068,211220.15217805744,NA,NA,306703.3623356688,163586.8818920809,223551.0436000002,4061188.297595813,3925769.256978935,3786083.013487109,NA,NA,3793399.741742632,3825533.4528936334,3793442.506621971
26,Bebrusai,90095.05480014556,162251.92253219004,239439.3708912425,114206.16256846992,89670.30572514227,87893.26526876696,560428.4180207802,172820.53214409045,156190.85731833972,123748.60438859228,207866.7643291098,279163.6139772003,317225.9734789982,314386.1000442652,72133.89579542572,224243.2728284649,3475441.497988908,3435726.8831866123,3274421.27488704,3327899.90739595,3301783.0072116912,3319448.044794359,3089165.096291186,3324663.605134836
28,Bubliai Reservoir,189950.8265589994,358020.9709722204,348519.5973253154,NA,260666.72475337604,NA,360399.2417667781,334389.5340584711,112509.197956205,65493.62087918451,91267.27362703822,NA,143686.6647812639,NA,102707.36504631788,74212.21228440231,1262924.8468119742,1141870.279475777,1125598.0003748278,NA,1161031.4817925398,NA,1102278.2645140854,1156783.1249843074
29,Didžiulis (Alytus),553253.3556808184,NA,680982.0968617628,583000.1780274948,590549.8495718281,513274.5718653962,946928.0849509024,559580.7766136035,400678.72806773474,NA,480428.9928621783,500792.3939305779,593585.9373760751,598156.673613187,203875.62834759883,549946.5993825283,7932874.870590555,NA,7727164.786619128,7804783.302884057,7671019.966725006,7777144.630864489,7737772.163044572,7779048.500346935
30,Didžiulis (Dusmena),19333.919502243327,74547.55845169364,219200.85285755253,69796.2646614524,68556.75600870172,28369.83154527253,30042.917652085245,43690.49815524233,93811.86180018992,75095.18102023556,83595.66494873646,228090.4191890642,135685.6133634081,213421.00890513425,207403.4624535058,194560.17191935543,1719156.3739516323,1682659.4157821357,1529505.637447776,1534415.4714035485,1628059.7858819552,1590511.3148036583,1594855.775148474,1594051.4851794671
31,Draudeniai,135402.93512897863,NA,NA,19908.316392576937,NA,87079.5801197576,96508.5291376152,204814.48183879457,22140.290423404465,NA,NA,172768.006159629,NA,119063.24079725976,106721.18489077696,8043.493113888011,851815.1626856485,NA,NA,816682.0656858255,NA,803215.5673210141,806128.6742096395,796500.4132853487
32,Dringis,307106.65791352256,420487.6726219941,511029.1710412882,NA,NA,321679.41792134417,535214.0936609311,462452.4396562325,96060.8217933954,261721.72875240527,419641.756562431,NA,NA,575535.6559542496,308018.7087861752,432549.53268335375,6627096.004484168,6348054.082816691,6099592.556587384,NA,NA,6132136.908881186,6187030.681743996,6135261.511851516
33,Dūkštas,168896.95106545248,209733.1415257773,250287.22316347,248811.65766673384,NA,186112.07658149872,243702.1227581845,227099.44159740367,32395.60672257368,76295.10360228593,163134.08840896003,160044.73477054655,NA,190723.08899533137,130834.38737526692,144435.5078999987,4803925.510094766,4719189.82275473,4591796.756310362,4596361.675445513,NA,4627929.618660332,4630681.557749339,4633683.118385389
34,Dūriai,198022.4966934352,NA,376364.98210069234,200411.6650734396,NA,197161.7839895363,254270.1039126378,272698.03910860553,224615.24824157427,NA,151243.0089456297,293350.1050974377,NA,301699.21168606327,229721.03273150872,223125.05190882977,2344998.1481246785,NA,2240027.9020133666,2273874.1228888114,NA,2268774.89738409,2283644.7564155427,2271812.8020422542
35,Dusia,91418.16095579544,207999.9616036956,NA,240359.2121701557,144417.83992640176,96119.95561885454,132390.65406440277,116183.91561886636,350036.22483834665,263967.47062431794,NA,259829.44692746343,532354.0270279829,373129.9299011384,360159.89403954323,346628.4335842659,22938690.39396813,22739561.03722772,NA,22879956.12035674,22703372.912807897,22910894.894242287,22887594.231658343,22917332.430559147
36,Dviragis,NA,179709.2630237505,321197.3982032023,100622.64475715483,86230.35692756507,NA,450945.0464909725,116756.671873848,NA,141904.03411411957,100944.84156763415,288106.1630181701,327306.7396883646,NA,207525.0577466927,280912.17986210843,NA,2634574.385361945,2536693.2413701825,2570106.673365694,2545298.384525089,NA,2300365.376903354,2561166.629405062
37,Eišiškės Reservoir,237458.49784725468,312925.96474392473,350936.04452599934,NA,269132.14891056786,270173.9773797882,395645.2537188651,301851.27890568203,157588.97251767927,34908.02563232721,158730.725810885,NA,161271.0522759681,163203.86411366198,28246.72070236206,117533.99113524191,1012760.1657108528,1059973.645699534,898140.8657389024,NA,976994.2617592152,974429.7945823368,983915.6616545584,988422.3660348628
38,Elektrėnai Reservoir,486286.66277063306,738671.1777490508,979080.8887434732,699037.9852062296,666414.4659621748,832363.6410173158,681849.248729287,679904.8282713197,926327.6944512904,560001.446855448,843515.4482242948,1138077.7666749689,1171564.9394153373,926129.0994475118,1024685.6030931656,1051587.5950639169,11524253.943487162,11618061.204371495,11114271.963741316,11099347.593438422,11098310.399146272,11178375.560244258,11230333.448886633,11205375.87737385
39,Galadusys,352135.10220861965,NA,NA,NA,336470.92112836626,335314.71018021466,391154.188759672,331830.0890553489,301428.9765923295,NA,NA,NA,519004.696645026,394116.326840524,314809.9678698671,399581.3380456063,6500574.115530166,NA,NA,NA,6298662.576557727,6424707.157310379,6448174.037701578,6422726.767230162
40,Galstas,228421.2435185008,NA,NA,NA,262405.0905692761,260432.28798464665,305813.9398014901,271973.75702041946,236160.23946582573,NA,NA,NA,289731.5665163823,221889.3625441308,181436.16063323687,217499.407096414,3335631.25156301,NA,NA,NA,3248076.077461676,3317891.0840185573,3312962.6341126096,3310739.570430504
41,Galuonai,177701.47831616897,229604.88072261497,371883.51703892107,216476.133634321,248629.07370203093,167390.03847823813,263554.01548782084,446630.17930324766,133260.88996598482,327520.44036546606,464144.0497343774,524988.9255987279,516523.3904107634,555459.5065735162,400291.8526134416,438747.6236769582,4490105.222032438,4243942.269226508,3965040.02354129,4059602.531081541,4012604.449443982,4078218.045262835,4137221.722213328,3915689.787334383
